1    0.0003120899200439453    0    0    b'Hello, world!'
2    0.00022101402282714844    0    0    b'Hello, world!'
3    0.000225067138671875    0    0    b'Hello, world!'
4    0.00020313262939453125    0    0    b'Hello, world!'
5    0.00017690658569335938    0    0    b'Hello, world!'
6    0.00017690658569335938    0    0    b'Hello, world!'
7    0.00017189979553222656    0    0    b'Hello, world!'
8    0.0002548694610595703    0    0    b'Hello, world!'
9    0.00019693374633789062    0    0    b'Hello, world!'
10    0.00020599365234375    0    0    b'Hello, world!'
11    0.00019097328186035156    0    0    b'Hello, world!'
12    0.00019979476928710938    0    0    b'Hello, world!'
13    0.00018596649169921875    0    0    b'Hello, world!'
14    0.0002079010009765625    0    0    b'Hello, world!'
15    0.0002570152282714844    0    0    b'Hello, world!'
16    0.00023794174194335938    0    0    b'Hello, world!'
17    0.00023794174194335938    0    0    b'Hello, world!'
18    0.0002961158752441406    0    0    b'Hello, world!'
19    0.0002999305725097656    0    0    b'Hello, world!'
20    0.00026297569274902344    0    0    b'Hello, world!'
21    0.0002770423889160156    0    0    b'Hello, world!'
22    0.0002720355987548828    0    0    b'Hello, world!'
23    0.0002770423889160156    0    0    b'Hello, world!'
24    0.0003139972686767578    0    0    b'Hello, world!'
25    0.00028014183044433594    0    0    b'Hello, world!'
26    0.00029206275939941406    0    0    b'Hello, world!'
27    0.0003190040588378906    0    0    b'Hello, world!'
28    0.00030803680419921875    0    0    b'Hello, world!'
29    0.0003371238708496094    0    0    b'Hello, world!'
30    0.0002789497375488281    0    0    b'Hello, world!'
31    0.0002651214599609375    0    0    b'Hello, world!'
32    0.0002751350402832031    0    0    b'Hello, world!'
33    0.000270843505859375    0    0    b'Hello, world!'
34    0.00027680397033691406    0    0    b'Hello, world!'
35    0.00028204917907714844    0    0    b'Hello, world!'
36    0.00028204917907714844    0    0    b'Hello, world!'
37    0.00028705596923828125    0    0    b'Hello, world!'
38    0.00030112266540527344    0    0    b'Hello, world!'
39    0.0003209114074707031    0    0    b'Hello, world!'
40    0.0002930164337158203    0    0    b'Hello, world!'
41    0.0002970695495605469    0    0    b'Hello, world!'
42    0.0003120899200439453    0    0    b'Hello, world!'
43    0.0002970695495605469    0    0    b'Hello, world!'
44    0.000308990478515625    0    0    b'Hello, world!'
45    0.00030493736267089844    0    0    b'Hello, world!'
46    0.0003390312194824219    0    0    b'Hello, world!'
47    0.0003859996795654297    0    0    b'Hello, world!'
48    0.00035500526428222656    0    0    b'Hello, world!'
49    0.00035500526428222656    0    0    b'Hello, world!'
50    0.0003600120544433594    0    0    b'Hello, world!'
51    0.00037479400634765625    0    0    b'Hello, world!'
52    0.0003838539123535156    0    0    b'Hello, world!'
53    0.0003349781036376953    0    0    b'Hello, world!'
54    0.0003418922424316406    0    0    b'Hello, world!'
55    0.0003421306610107422    0    0    b'Hello, world!'
56    0.00034308433532714844    0    0    b'Hello, world!'
57    0.0003330707550048828    0    0    b'Hello, world!'
58    0.00033020973205566406    0    0    b'Hello, world!'
59    0.0003390312194824219    0    0    b'Hello, world!'
60    0.0003421306610107422    0    0    b'Hello, world!'
61    0.0003590583801269531    0    0    b'Hello, world!'
62    0.0003521442413330078    0    0    b'Hello, world!'
63    0.00034999847412109375    0    0    b'Hello, world!'
64    0.0003638267517089844    0    0    b'Hello, world!'
65    0.0003590583801269531    0    0    b'Hello, world!'
66    0.0003781318664550781    0    0    b'Hello, world!'
67    0.0003402233123779297    0    0    b'Hello, world!'
68    0.0004138946533203125    0    0    b'Hello, world!'
69    0.0003578662872314453    0    0    b'Hello, world!'
70    0.00035691261291503906    0    0    b'Hello, world!'
71    0.0003600120544433594    0    0    b'Hello, world!'
72    0.00037217140197753906    0    0    b'Hello, world!'
